"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"101","RingSpotCount_TUB","2_C2_2",2.39506096506213,0.0384139489288019,0.62424985365309,0.854135480332715,"TUB","panelC2","non-int",-3.25933463199477,-0.157665455700112
"102","RingSpotCount_TUB","2_C2_3",0.273404469126486,0.989915172592393,0.947448707195491,0.549471876770626,"TUB","panelC2","non-int",-0.0101360237747149,-0.598797686119475
"103","CircSpotTotalInten_TUB","1_C2_1",1.76019280518359,0.123835149209252,0.783242237477618,0.708740345649456,"TUB","panelC2","int",-2.08880403972981,-0.344266045691567
"104","CircSpotTotalInten_TUB","1_C2_2",1.68943703057831,0.141369783356829,0.429377377826586,0.969478427074303,"TUB","panelC2","int",-1.95637624455943,-0.0309970561464827
"105","CircSpotTotalInten_TUB","1_C2_3",1.71841897779301,0.13390645376692,0.931501226858427,0.564461080648474,"TUB","panelC2","int",-2.01061382903785,-0.571883842590351
"106","CircSpotTotalInten_TUB","2_C2_1",0.394512638715929,0.955274847298983,0.682098929854315,0.804478204214725,"TUB","panelC2","int",-0.0457561816885398,-0.2175614052539
"107","CircSpotTotalInten_TUB","2_C2_2",0.805867973157733,0.648897770477031,0.779123808769771,0.712763030344294,"TUB","panelC2","int",-0.43248009321077,-0.338606269568611
"108","CircSpotTotalInten_TUB","2_C2_3",1.34143745118358,0.26928079110037,1.56013968312512,0.162304943294469,"TUB","panelC2","int",-1.31200061070836,-1.81827834716529
"109","CircSpotAvgInten_TUB","1_C2_1",1.39675378757878,0.243447976310148,0.634030744835384,0.846112697350878,"TUB","panelC2","int",-1.41285200893615,-0.16710271624917
"110","CircSpotAvgInten_TUB","1_C2_2",1.98651443860441,0.0811651732531391,1.2263900839244,0.325678523652202,"TUB","panelC2","int",-2.51126902464218,-1.12184450792161
"111","CircSpotAvgInten_TUB","1_C2_3",3.08811276680387,0.011577196136838,0.617242580370478,0.859777924267364,"TUB","panelC2","int",-4.45871796596218,-0.151081150677158
"112","CircSpotAvgInten_TUB","2_C2_1",5.58439910047819,0.000332000951319122,0.867878602750043,0.6256978981003,"TUB","panelC2","int",-8.01037272363285,-0.468887615260591
"113","CircSpotAvgInten_TUB","2_C2_2",7.11485664691839,5.96825659068564e-05,0.530380928303561,0.921246111900771,"TUB","panelC2","int",-9.72647060857517,-0.0820280559479893
"114","CircSpotAvgInten_TUB","2_C2_3",2.49060253139093,0.0323762614797666,1.03019510117187,0.47492977072422,"TUB","panelC2","int",-3.43032979509554,-0.744588336985454
"115","CircSpotTotalArea_TUB","1_C2_1",1.3692177759082,0.256011372007208,0.700750886496294,0.787487864157202,"TUB","panelC2","non-int",-1.36253341358604,-0.238907318995123
"116","CircSpotTotalArea_TUB","1_C2_2",1.41320025352634,0.236216831239486,0.429200034489246,0.969539881220852,"TUB","panelC2","non-int",-1.44300511933475,-0.0309336692807614
"117","CircSpotTotalArea_TUB","1_C2_3",1.55903690799395,0.180349890677911,0.600768978242053,0.87267750143652,"TUB","panelC2","non-int",-1.71285647779905,-0.136189205554818
"118","CircSpotTotalArea_TUB","2_C2_1",0.502118137934949,0.897520064787807,0.704577410403844,0.783954348124783,"TUB","panelC2","non-int",-0.108119802560067,-0.243404489759804
"119","CircSpotTotalArea_TUB","2_C2_2",1.1386637747677,0.385604608342096,0.938202823139932,0.558141159865676,"TUB","panelC2","non-int",-0.952942765222512,-0.583143373923852
"120","CircSpotTotalArea_TUB","2_C2_3",0.840379063604484,0.618551946169638,1.43183521184428,0.213115775265512,"TUB","panelC2","non-int",-0.48037410333658,-1.54591971509277
"121","CircSpotAvgArea_TUB","1_C2_1",2.40784248526239,0.0375415382377773,0.672113261109719,0.813400067847712,"TUB","panelC2","non-int",-3.2823072726969,-0.206532202096535
"122","CircSpotAvgArea_TUB","1_C2_2",5.35865991969866,0.000438595395679117,1.76321667646629,0.105049094387931,"TUB","panelC2","non-int",-7.73193321980322,-2.2533274725
"123","CircSpotAvgArea_TUB","1_C2_3",1.897021428446,0.0958852224785529,0.986041468865336,0.513978563207145,"TUB","panelC2","non-int",-2.34460340199494,-0.665573720219358
"124","CircSpotAvgArea_TUB","2_C2_1",1.42188490055911,0.232478982783739,0.995391973325495,0.50556242337882,"TUB","panelC2","non-int",-1.45895545466983,-0.682083759760273
"125","CircSpotAvgArea_TUB","2_C2_2",3.06756052605207,0.0119793926261416,0.671096210069435,0.814301412832862,"TUB","panelC2","non-int",-4.42456738656658,-0.205424695483095
"126","CircSpotAvgArea_TUB","2_C2_3",2.60000585120901,0.0266753838655411,0.891525245304694,0.602713966666038,"TUB","panelC2","non-int",-3.62401409143709,-0.506312545265641
"127","CircSpotCount_TUB","1_C2_1",2.02131809649883,0.0760867692818891,1.3749773859743,0.240111724978524,"TUB","panelC2","non-int",-2.57588088886336,-1.42665094321746
"128","CircSpotCount_TUB","1_C2_2",0.788741572941716,0.664052095506266,0.414530510887273,0.974350555012476,"TUB","panelC2","non-int",-0.40939467549555,-0.0259841273488423
"129","CircSpotCount_TUB","1_C2_3",1.17891728295619,0.359682028198146,0.906717775102473,0.588074115981697,"TUB","panelC2","non-int",-1.02253489283667,-0.53090229143892
"130","CircSpotCount_TUB","2_C2_1",0.732144669968013,0.714199077342749,0.92935196514466,0.56649414141394,"TUB","panelC2","non-int",-0.3365935356978,-0.568288540290517
"131","CircSpotCount_TUB","2_C2_2",1.50030065570343,0.201146201620774,0.57313575929474,0.893075805465336,"TUB","panelC2","non-int",-1.60372326408169,-0.113083813169456
"132","CircSpotCount_TUB","2_C2_3",0.384966160973046,0.959175513283552,1.43101200306138,0.213485741748049,"TUB","panelC2","non-int",-0.0416812038645424,-1.54418523192507
"133","TotalInten_TUB","1_C2_1",3.00382823160608,0.0133250983153823,1.12465620872592,0.397881891074205,"TUB","panelC2","int",-4.31810593069236,-0.921600073833465
"134","TotalInten_TUB","1_C2_2",1.58161223377498,0.172921352480946,0.57219550593737,0.893740932418968,"TUB","panelC2","int",-1.75491839778751,-0.112339330570597
"135","TotalInten_TUB","1_C2_3",3.89229989992244,0.00325719826112753,0.814779989085686,0.677803269002066,"TUB","panelC2","int",-5.72688788222643,-0.388898196861145
"136","TotalInten_TUB","2_C2_1",2.17908889528223,0.0568725787369292,0.89921649833332,0.595288435136701,"TUB","panelC2","int",-2.86694197427561,-0.518709225961437
"137","TotalInten_TUB","2_C2_2",5.05083548288937,0.000648894722568449,0.439008871635038,0.966020870667283,"TUB","panelC2","int",-7.34024006925904,-0.0345698397573744
"138","TotalInten_TUB","2_C2_3",2.04567478520453,0.0727286776997463,1.28118670221433,0.291460821316022,"TUB","panelC2","int",-2.62101950592767,-1.2328496859432
"139","AvgInten_TUB","1_C2_1",1.65852649844026,0.149784786313884,0.605916470992307,0.868703420678933,"TUB","panelC2","int",-1.898555773044,-0.140753500025232
"140","AvgInten_TUB","1_C2_2",4.44631124237394,0.00146268658616592,1.44952822506595,0.205307428985867,"TUB","panelC2","int",-6.52748040671155,-1.58324676961162
"141","AvgInten_TUB","1_C2_3",4.04478277564903,0.00259830912585807,0.6463937945916,0.835739187159204,"TUB","panelC2","int",-5.95289438172345,-0.179438691654701
"142","AvgInten_TUB","2_C2_1",8.70018946364536,1.30298300551151e-05,0.983233314550697,0.516520747002664,"TUB","panelC2","int",-11.2482692094978,-0.660639822782583
"143","AvgInten_TUB","2_C2_2",9.38850710528947,7.17620749284609e-06,0.575756242757673,0.89121174797922,"TUB","panelC2","int",-11.8447395187922,-0.115173227693107
"144","AvgInten_TUB","2_C2_3",5.05147207893902,0.000648359699701906,0.815293721751343,0.677298177821518,"TUB","panelC2","int",-7.34106492348608,-0.389643663121435
"145","RingTotalInten_ACT","1_C2_1",1.40081449497941,0.241643846498412,1.12892827828949,0.394621280817728,"ACT","panelC2","int",-1.42029034553664,-0.929828756747119
"146","RingTotalInten_ACT","1_C2_2",4.39006486125238,0.00158252570944228,1.23401905032445,0.32072124708351,"ACT","panelC2","int",-6.44873315798484,-1.13718292226835
"147","RingTotalInten_ACT","1_C2_3",5.96390652318592,0.000211203525668334,1.32508487278695,0.266326606905067,"ACT","panelC2","int",-8.46268831276613,-1.32303187787849
"148","RingTotalInten_ACT","2_C2_1",3.50496201838137,0.00590213171156464,0.848436999118,0.6447269673744,"ACT","panelC2","int",-5.13244168628128,-0.438928358202087
"149","RingTotalInten_ACT","2_C2_2",6.38051505208306,0.000131313727718742,1.57287072650928,0.15795127733858,"ACT","panelC2","int",-8.93792122980739,-1.84546866478618
"150","RingTotalInten_ACT","2_C2_3",6.5491613003253,0.000108979317853496,2.05178637267014,0.0568050109166693,"ACT","panelC2","int",-9.12435243820223,-2.86813073678232
"151","RingAvgInten_ACT","1_C2_1",1.21659038676185,0.336713357625107,0.974291231163223,0.52465978553737,"ACT","panelC2","int",-1.08852328141579,-0.645005253998985
"152","RingAvgInten_ACT","1_C2_2",2.63563445524368,0.0250574134463771,1.40683232859548,0.224622369612129,"ACT","panelC2","int",-3.68658554927147,-1.49333464407662
"153","RingAvgInten_ACT","1_C2_3",4.9892455618635,0.000703010445280535,1.10868246620715,0.41024941493371,"ACT","panelC2","int",-7.26013880811245,-0.89098997513432
"154","RingAvgInten_ACT","2_C2_1",4.03039851789158,0.00265380092224523,0.920904507074161,0.574512927621965,"ACT","panelC2","int",-5.93176235634326,-0.554232679558399
"155","RingAvgInten_ACT","2_C2_2",9.10987920696505,9.09791440140512e-06,1.64640019178493,0.134951449055648,"ACT","panelC2","int",-11.6074653573675,-2.0028402018533
"156","RingAvgInten_ACT","2_C2_3",5.1504060581086,0.000570784053636398,0.62812412512299,0.850977705976426,"ACT","panelC2","int",-7.46849960961869,-0.16136934819443
"157","CircTotalInten_ACT","1_C2_1",1.53148419413817,0.18983451106735,1.22447735425738,0.326931321732576,"ACT","panelC2","int",-1.66160258074002,-1.11800515542592
"158","CircTotalInten_ACT","1_C2_2",2.85171317812588,0.0172389398551508,1.7241782079192,0.114221316800096,"ACT","panelC2","int",-4.0605845089581,-2.16961733718208
"159","CircTotalInten_ACT","1_C2_3",5.98805793454421,0.000205342608133319,0.886102165679765,0.607965715120212,"ACT","panelC2","int",-8.49083071463852,-0.497636788210838
"160","CircTotalInten_ACT","2_C2_1",3.68047018738829,0.00449191369566953,0.858846882268437,0.634526300464476,"ACT","panelC2","int",-5.40547645518688,-0.454876541994117
"161","CircTotalInten_ACT","2_C2_2",6.74287260191813,8.83262814340252e-05,0.634042587155226,0.846102882877164,"ACT","panelC2","int",-9.33447285665533,-0.167114315804013
"162","CircTotalInten_ACT","2_C2_3",4.52049773146224,0.00131949987759982,1.02816109365375,0.476688793640154,"ACT","panelC2","int",-6.63050249478345,-0.740891425249581
"163","CircAvgInten_ACT","1_C2_1",1.43277359243738,0.227870097957146,0.865177875958892,0.62833539967114,"ACT","panelC2","int",-1.4789795581965,-0.464681179172259
"164","CircAvgInten_ACT","1_C2_2",5.76183004221424,0.000268075410210136,3.86595613718545,0.00185471289377979,"ACT","panelC2","int",-8.22424223565263,-6.29002536914421
"165","CircAvgInten_ACT","1_C2_3",5.39541818482811,0.000418945820556235,0.756977972396105,0.734278566764894,"ACT","panelC2","int",-7.77776895295131,-0.308866803613385
"166","CircAvgInten_ACT","2_C2_1",7.35548145958533,4.66709995503822e-05,0.888407026694405,0.605732123342908,"ACT","panelC2","int",-9.97238758082495,-0.50131743132988
"167","CircAvgInten_ACT","2_C2_2",11.5397197626612,1.35541218855184e-06,0.87806685992558,0.615769399132892,"ACT","panelC2","int",-13.5114049516983,-0.484882737592835
"168","CircAvgInten_ACT","2_C2_3",5.44264476072206,0.000395099770102252,0.443526682899671,0.964317292816897,"ACT","panelC2","int",-7.83637224241941,-0.0363348966006709
"169","RingSpotTotalInten_ACT","1_C2_1",1.20583308757578,0.343145089936689,1.33295469705493,0.262028407741761,"ACT","panelC2","int",-1.06960191852576,-1.3393023546035
"170","RingSpotTotalInten_ACT","1_C2_2",1.20719131899474,0.342327436606355,0.963160670653099,0.534881267172373,"ACT","panelC2","int",-1.07198758297319,-0.625710487235281
"171","RingSpotTotalInten_ACT","1_C2_3",1.59403768161583,0.168960299169675,2.06812172588335,0.0548811026573116,"ACT","panelC2","int",-1.77809150781196,-2.90258620361417
"172","RingSpotTotalInten_ACT","2_C2_1",3.80246480358383,0.00372886827160017,2.62120495900811,0.0176934031098064,"ACT","panelC2","int",-5.59165050380491,-4.03456341453503
"173","RingSpotTotalInten_ACT","2_C2_2",0.500765404233955,0.898392871043229,0.805470233595088,0.686952741491246,"ACT","panelC2","int",-0.107147810759436,-0.37548977880386
"174","RingSpotTotalInten_ACT","2_C2_3",2.0714811337862,0.069337535425723,1.28708658044618,0.287966835596348,"ACT","panelC2","int",-2.66876888268369,-1.24490995965629
